


^Actinium,89,3,VI,1.26, 1.12, R
^Erbium,68,3,IX,1.202, 1.062, R






^Europium,63,2,VI,1.31, 1.17, 
^Europium,63,2,VII,1.34, 1.2, 
^Europium,63,2,VIII,1.39, 1.25, 
^Europium,63,2,IX,1.44, 1.3, 
^Europium,63,2,X,1.49, 1.35, 
^Europium,63,3,VI,1.087, 0.947, R
^Europium,63,3,VII,1.15, 1.01, 
^Europium,63,3,VIII,1.206, 1.066, R
^Europium,63,3,IX,1.26, 1.12, R












^Fluorine,9,-1,II,1.145, 1.285, 
^Fluorine,9,-1,III,1.16, 1.3, 
^Fluorine,9,-1,IV,1.17, 1.31, 
^Fluorine,9,-1,VI,1.19, 1.33, 
^Fluorine,9,7,VI,0.22, 0.08, A






^Francium,87,1,VI,1.94, 1.8, A






^Gadolinium,64,3,VI,1.078, 0.938, R
^Gadolinium,64,3,VII,1.14, 1, 
^Gadolinium,64,3,VIII,1.193, 1.053, R
^Gadolinium,64,3,IX,1.247, 1.107, RC






^Gallium,31,3,IV,0.61, 0.47, *
^Gallium,31,3,V,0.69, 0.55, 
^Gallium,31,3,VI,0.76, 0.62, R*






^Germanium,32,2,VI,0.87, 0.73, A
^Germanium,32,4,IV,0.53, 0.39, *
^Germanium,32,4,VI,0.67, 0.53, R*




 

^Gold,79,1,VI,1.51, 1.37, A
^Gold,79,3,IVSQ,0.82, 0.68, 
^Gold,79,3,VI,0.99, 0.85, A
^Gold,79,5,VI,0.71, 0.57, 






^Hafnium,72,4,IV,0.72, 0.58, R
^Hafnium,72,4,VI,0.85, 0.71, R
^Hafnium,72,4,VII,0.9, 0.76, 
^Hafnium,72,4,VIII,0.97, 0.83, 


















^Holmium,67,3,VI,1.041, 0.901, R
^Holmium,67,3,VIII,1.155, 1.015, R
^Holmium,67,3,IX,1.212, 1.072, R
^Holmium,67,3,X,1.26, 1.12, 






^Hydrogen,1,1,I,-0.24, -0.38, 
^Hydrogen,1,1,II,-0.04, -0.18, 
^Hydrogen,1,1,II,0.04, -0.1, 
^Hydrogen,1,-1,II,1.18, 1.32, 
^Hydrogen,1,-1,III,1.2, 1.34, 
^Hydrogen,1,-1,IV,1.21, 1.35, E
^Hydrogen,1,-1,VI,1.23, 1.37, E






^Indium,49,3,IV,0.76, 0.62, 
^Indium,49,3,VI,0.94, 0.8, R*
^Indium,49,3,VIII,1.06, 0.92, RC






^Iodine,53,-1,VI,2.06, 2.2, A
^Iodine,53,5,IIIPY,0.58, 0.44, *
^Iodine,53,5,VI,1.09, 0.95, 
^Iodine,53,7,IV,0.56, 0.42, 
^Iodine,53,7,VI,0.67, 0.53, 












^Iron,26,2,IV (High spin)0.77, 0.63, 
^Iron,26,2,IVSQ (High spin)0.78, 0.64, 
^Iron,26,2,VI (High spin)0.92, 0.78, R*
^Iron,26,2,VI (Low spin)0.75, 0.67, R
^Iron,26,2,VIII (High spin)1.06, 0.92, C
^Iron,26,3,IV (High spin)0.63, 0.49, *
^Iron,26,3,V,0.72, 0.58, 
^Iron,26,3,VI (High spin)0.785, 0.645, R*
^Iron,26,3,VI (Low spin)0.69, 0.55, R
^Iron,26,3,VIII (High spin)0.92, 0.78, 
^Iron,26,4,VI,0.725, 0.585, R
^Iron,26,6,IV,0.39, 0.25, R












^Lanthanum,57,3,VI,1.172, 1.032, R
^Lanthanum,57,3,VII,1.24, 1.1, 
^Lanthanum,57,3,VIII,1.3, 1.16, R
^Lanthanum,57,3,IX,1.356, 1.216, R
^Lanthanum,57,3,X,1.41, 1.27, 
^Lanthanum,57,3,XII,1.5, 1.36, C






^Lawrencium,103,3,VI,0.82, 0.68, E
^Lawrencium,103,4,VI,0.765, 0.625, R
^Lawrencium,103,5,VI,0.71, 0.57, EM






^Lead,82,2,IVPY,1.12, 0.98, C
^Lead,82,2,VI,1.33, 1.19, 
^Lead,82,2,VII,1.37, 1.23, C
^Lead,82,2,VIII,1.43, 1.29, C
^Lead,82,2,IX,1.49, 1.35, C
^Lead,82,2,X,1.54, 1.4, C
^Lead,82,2,XI,1.59, 1.45, C
^Lead,82,2,XII,1.63, 1.49, 
^Lead,82,4,IV,0.79, 0.65, E
^Lead,82,4,V,0.87, 0.73, E
^Lead,82,4,VI,0.915, 0.775, R
^Lead,82,4,VIII,1.08, 0.94, R






^Lithium,3,1,IV,0.73, 0.59, *
^Lithium,3,1,VI,0.9, 0.76, *
^Lithium,3,1,VIII,1.06, 0.92, C







^Lutetium,71,3,VI,1.001, 0.861, R
^Lutetium,71,3,VIII,1.117, 0.977, R
^Lutetium,71,3,IX,1.172, 1.032, R






^Magnesium,12,2,IV,0.71, 0.57, 
^Magnesium,12,2,V,0.8, 0.66, 
^Magnesium,12,2,VI,0.86, 0.72, *
^Magnesium,12,2,VIII,1.03, 0.89, C






^Manganese,25,2,IV (High spin)0.8, 0.66, 
^Manganese,25,2,V (High spin)0.89, 0.75, C
^Manganese,25,2,VI (High spin)0.97, 0.83, R*
^Manganese,25,2,VI (Low spin)0.81, 0.67, E
^Manganese,25,2,VII (High spin)1.04, 0.9, C
^Manganese,25,2,VIII,1.1, 0.96, R
^Manganese,25,3,V,0.72, 0.58, 
^Manganese,25,3,VI (High spin)0.785, 0.645, R*
^Manganese,25,3,VI (Low spin)0.72, 0.58, R
^Manganese,25,4,IV,0.53, 0.39, R
^Manganese,25,4,VI,0.67, 0.53, R*
^Manganese,25,5,IV,0.47, 0.33, R
^Manganese,25,6,IV,0.395, 0.255, 
^Manganese,25,7,IV,0.39, 0.25, 
^Manganese,25,7,VI,0.6, 0.46, A


















^Mercury,80,1,III,1.111, 0.97, 
^Mercury,80,1,VI,1.33, 1.19, 
^Mercury,80,2,II,0.83, 0.69, 
^Mercury,80,2,IV,1.1, 0.96, 
^Mercury,80,2,VI,1.16, 1.02, 
^Mercury,80,2,VIII,1.28, 1.14, R






^Molybdenum,42,3,VI,0.83, 0.69, E
^Molybdenum,42,4,VI,0.79, 0.65, RM
^Molybdenum,42,5,IV,0.6, 0.46, R
^Molybdenum,42,5,VI,0.75, 0.61, R
^Molybdenum,42,6,IV,0.55, 0.41, R*
^Molybdenum,42,6,V,0.64, 0.5, 
^Molybdenum,42,6,VI,0.73, 0.59, R*
^Molybdenum,42,6,VII,0.87, 0.73, 






^Neodymium,60,2,VIII,1.43, 1.29, 
^Neodymium,60,2,IX,1.49, 1.35, 
^Neodymium,60,3,VI,1.123, 0.983, R
^Neodymium,60,3,VIII,1.249, 1.109, R*
^Neodymium,60,3,IX,1.303, 1.163, R
^Neodymium,60,3,XII,1.41, 1.27, E












^Neptunium,93,2,VI,1.24, 1.1, 
^Neptunium,93,3,VI,1.15, 1.01, R
^Neptunium,93,4,VI,1.01, 0.87, R
^Neptunium,93,4,VIII,1.12, 0.98, R
^Neptunium,93,5,VI,0.89, 0.75, 
^Neptunium,93,6,VI,0.86, 0.72, R
^Neptunium,93,7,VI,0.85, 0.71, A






^Nickel,28,2,IV,0.69, 0.55, 
^Nickel,28,2,IVSQ,0.63, 0.49, 
^Nickel,28,2,V,0.77, 0.69, E
^Nickel,28,2,VI,0.83, 0.69, R*
^Nickel,28,3,VI (High spin)0.74, 0.6, E
^Nickel,28,3,VI (Low spin)0.7, 0.56, R*
^Nickel,28,4,VI (Low spin)0.62, 0.48, R






^Niobium,41,3,VI,0.86, 0.72, 
^Niobium,41,4,VI,0.82, 0.68, RE
^Niobium,41,4,VIII,0.93, 0.79, 
^Niobium,41,5,IV,0.62, 0.48, C
^Niobium,41,5,VI,0.78, 0.64, 
^Niobium,41,5,VII,0.83, 0.69, C
^Niobium,41,5,VIII,0.88, 0.74, 






^Nitrogen,7,-3,IV,1.32, 1.46, 
^Nitrogen,7,3,VI,0.3, 0.16, A
^Nitrogen,7,5,III,0.044, -0.104, 
^Nitrogen,7,5,VI,0.27, 0.13, A






^Nobelium,102,2,VI,1.24, 1.1, E






^Osmium,76,4,VI,0.77, 0.63, RM
^Osmium,76,5,VI,0.715, 0.575, E
^Osmium,76,6,V,0.63, 0.49, 
^Osmium,76,6,VI,0.685, 0.545, E
^Osmium,76,7,VI,0.665, 0.525, E
^Osmium,76,8,IV,0.53, 0.39, 






^Oxygen,8,-2,II,1.21, 1.35, 
^Oxygen,8,-2,III,1.22, 1.36, 
^Oxygen,8,-2,IV,1.24, 1.38, 
^Oxygen,8,-2,VI,1.26, 1.4, 
^Oxygen,8,-2,VIII,1.28, 1.42, 
